<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>8x<sup>2</sup>+2x+4</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-7)(-3x<sup>2</sup>+24x-30)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-7)</span> + <span style='margin-left:35px'>Bx+C</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(-3x<sup>2</sup>+24x-30)</span></span><br/><br/><div style='clear:both'></div> then find the value of A and B,4,"-10<span>/</span>9, 10<span>/</span>3","-82<span>/</span>27, -10<span>/</span>9","-10<span>/</span>9, -10<span>/</span>3","-82<span>/</span>27, 10<span>/</span>3",2,Rearrange the equation in the form<br/> 8x<sup>2</sup>+2x+4 = A(-3x<sup>2</sup>+24x-30) + Bx(x-7) + C(x-7),Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 7 to get the value of A . Substitute the value of A in the equation and put x = 0 to get the value of C. Now put the values of A and C in the equation to get the value of B",7,1,You've got one of the coefficients correct i.e. VALUE OF B but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>-2x<sup>2</sup>-9x-6</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-8)(-5x<sup>2</sup>+49x-77)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-8)</span> + <span style='margin-left:35px'>Bx+C</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(-5x<sup>2</sup>+49x-77)</span></span><br/><br/><div style='clear:both'></div> then find the value of B,4,-57<span>/</span>70,29<span>/</span>14,20<span>/</span>83,57<span>/</span>70,2,Rearrange the equation in the form<br/> -2x<sup>2</sup>-9x-6 = A(-5x<sup>2</sup>+49x-77) + Bx(x-8) + C(x-8),Substitute the values of x such that terms A and C are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = -9 to get the value of A . Substitute the value of A in the equation and put x = 0 to get the value of C. Now put the values of A and C in the equation to get the value of B",7,1,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,The selected answer is the value of C and not B. Let's try the next one,The selected answer is the value of A and not B. Let's try the next one
"<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>7x<sup>2</sup>+8</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+10)(-5x<sup>2</sup>-53x-42)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+10)</span> + <span style='margin-left:35px'>Bx+C</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(-5x<sup>2</sup>-53x-42)</span></span><br/><br/><div style='clear:both'></div> then find the value of A,B and C",4,"-47<span>/</span>32, -31<span>/</span>90, -77<span>/</span>80","-77<span>/</span>80, -31<span>/</span>90, 22","-31<span>/</span>90, -77<span>/</span>80, 47<span>/</span>32","-47<span>/</span>32, 22, 22",1,Rearrange the equation in the form<br/> 7x<sup>2</sup>+8 = A(-5x<sup>2</sup>-53x-42) + Bx(x+10) + C(x+10),Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = -10 to get the value of A . Substitute the value of A in the equation and put x = 0 to get the value of C. Now put the values of A and C in the equation to get the value of B",7,1,Your answer is correct! Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF B and C but the third coefficient is incorrect. Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF B and C but the third coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the other two coefficients are incorrect. Let's try the next one
<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>-2x<sup>2</sup></span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-1)(-x<sup>2</sup>-x-9)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-1)</span> + <span style='margin-left:35px'>Bx+C</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(-x<sup>2</sup>-x-9)</span></span><br/><br/><div style='clear:both'></div> then find the value of A,4,-11<span>/</span>7,-13<span>/</span>7,-1<span>/</span>7,1<span>/</span>7,4,Rearrange the equation in the form<br/> -2x<sup>2</sup> = A(-x<sup>2</sup>-x-9) + Bx(x-1) + C(x-1),Substitute the values of x such that terms B and C are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = 1 to get the<br/> value of A",7,1,The selected answer is the value of C and not A. Let's try the next one,The selected answer is the value of B and not A. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>-10</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x)(6x<sup>2</sup>-2x+11)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x)</span> + <span style='margin-left:35px'>Bx+C</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(6x<sup>2</sup>-2x+11)</span></span><br/><br/><div style='clear:both'></div> then find the value of A and B,4,"-10<span>/</span>11, -60<span>/</span>11","60<span>/</span>11, -20<span>/</span>11","-10<span>/</span>11, 60<span>/</span>11","-10<span>/</span>11, -20<span>/</span>11",3,Rearrange the equation in the form<br/> -10 = A(6x<sup>2</sup>-2x+11) + Bx(x) + C(x),Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 0 to get the value of A . Substitute the value of A in the equation and put x = 0 to get the value of C. Now put the values of A and C in the equation to get the value of B",7,1,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF B but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>9</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+1)(9x<sup>2</sup>+8x+3)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+1)</span> + <span style='margin-left:35px'>Bx+C</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(9x<sup>2</sup>+8x+3)</span></span><br/><br/><div style='clear:both'></div> then find the value of C,4,9<span>/</span>14,45<span>/</span>7,-81<span>/</span>14,-9<span>/</span>14,2,Rearrange the equation in the form<br/> 9 = A(9x<sup>2</sup>+8x+3) + Bx(x+1) + C(x+1),Substitute the values of x such that terms A and B are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = 0 to get the value of A . Substitute the value of A in the equation and put x = 0 to get the value of C.",7,1,The selected answer is the value of A and not C. Let's try the next one,Your answer is correct! Let's try the next one,The selected answer is the value of B and not C. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>11x+1</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+12)(3x<sup>2</sup>-5x+5)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:35px;'> </span></span><span></span></p>",4,"-34<span>/</span>43, 24<span>/</span>91","17<span>/</span>88, 22","17<span>/</span>88, 34<span>/</span>43","17<span>/</span>88, -34<span>/</span>43",3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 11x+1 = A(3x<sup>2</sup>-5x+5) + Bx(x+12) + C(x+12),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>8x<sup>2</sup>+x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+4)(9x<sup>2</sup>-x+2)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:35px;'> </span></span><span></span></p>",4,"-14<span>/</span>25, 31<span>/</span>75","62<span>/</span>75, 31<span>/</span>75","14<span>/</span>25, 22","62<span>/</span>75, -31<span>/</span>75",4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 8x<sup>2</sup>+x = A(9x<sup>2</sup>-x+2) + Bx(x+4) + C(x+4),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>2x<sup>2</sup>+10x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-4)(11x<sup>2</sup>-4x+9)</span></span></td></tr></tbody></table>can be resolved to partial fractions such that <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>one of the terms in its partial fractions is<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:35px;'> (Bx+C)</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(11x<sup>2</sup>-4x+9)</span></span><span>then find the value of C</span></p>,4,93<span>/</span>97,-93<span>/</span>97,23<span>/</span>54,-137<span>/</span>51,1,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 2x<sup>2</sup>+10x = A(11x<sup>2</sup>-4x+9) + Bx(x-4) + C(x-4),Substitute the values of x such that terms A and B are removed from the<br/> equation,7,2,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of A and not C. Let's try the next one,The selected answer is the value of B and not C. Let's try the next one
<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-3x<sup>2</sup>+10</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(11x<sup>3</sup>+9x<sup>2</sup>+2x+4)</span></span></td></tr></tbody></table>can be resolved to partial fractions such that <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>one of the terms in its partial fractions is<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> (Bx+C)</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -75px;'>(11x<sup>2</sup>9x+4)</span></span><span>then find the value of C</span></p>,4,7<span>/</span>17,128<span>/</span>17,-128<span>/</span>17,142<span>/</span>17,4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -3x<sup>2</sup>+10 = A(11x<sup>2</sup>+9x+2) + Bx(x+1) + C(x+1),Substitute the values of x such that terms A and B are removed from the<br/> equation,7,3,The selected answer is the value of A and not C. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of B and not C. Let's try the next one,Your answer is correct! Let's try the next one
