<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>-2x<sup>2</sup>-12x-3</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-7)(x+1)(x-4)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-7)</span> + B<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+1)</span> + C<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-4)</span></span><br/><br/><div style='clear:both'></div> then find the value of A and C,4,"7<span>/</span>40, 83<span>/</span>15","-185<span>/</span>24, 83<span>/</span>15","-185<span>/</span>24, 7<span>/</span>40","83<span>/</span>15, -7<span>/</span>40",2,Rearrange the equation in the form<br/> -2x<sup>2</sup>-12x-3 = A(x+1)(x-4) + B(x-7)(x-4) + C(x-7)(x+1),Substitute the values of x such that terms B and C are removed from the<br/> equation to get A. Similarly substitute a different value of x to get the value of C,"Based on the above hint , you need to substitute the value of x = 7 to get the<br/> value of A Similarly substituting the value of x = 4 will get you the value of C",7,1,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one
<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>-2x<sup>2</sup>+10x-10</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+9)(x+1)(x-8)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+9)</span> + B<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+1)</span> + C<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-8)</span></span><br/><br/><div style='clear:both'></div> then find the value of A and B,4,"11<span>/</span>36, -36<span>/</span>95","-131<span>/</span>68, 11<span>/</span>36","-131<span>/</span>68, -36<span>/</span>95","-131<span>/</span>68, -11<span>/</span>36",2,Rearrange the equation in the form<br/> -2x<sup>2</sup>+10x-10 = A(x+1)(x-8) + B(x+9)(x-8) + C(x+9)(x+1),Substitute the values of x such that terms C and B are removed from the<br/> equation to get A. Similarly substitute a different value of x to get the value of B,"Based on the above hint , you need to substitute the value of x = -9 to get the<br/> value of A Similarly substituting the value of x = -1 will get you the value of B",7,1,You've got one of the coefficients correct i.e. VALUE OF B but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>9x<sup>2</sup>-12</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+6)(x<sup>2</sup>-9x-36)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains all the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"52<span>/</span>9, -12, -12","52<span>/</span>9, 214<span>/</span>45, 23<span>/</span>15","214<span>/</span>45, 52<span>/</span>9, -12","52<span>/</span>9, -23<span>/</span>15, 214<span>/</span>45",4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 9x<sup>2</sup>-12 = A(x+3)(x-12) + B(x+6)(x-12) + C(x+6)(x+3),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,You've got one of the coefficients correct i.e. VALUE OF A but the other two coefficients are incorrect. Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF A and C but the third coefficient is incorrect. Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF A and C but the third coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>5x<sup>2</sup></span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-9)(x<sup>2</sup>-x-132)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains all the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"240<span>/</span>23, 121<span>/</span>92, 27<span>/</span>4","-27<span>/</span>4, 240<span>/</span>23, 121<span>/</span>92","-27<span>/</span>4, 121<span>/</span>92, -12","121<span>/</span>92, -12, -12",2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 5x<sup>2</sup> = A(x-12)(x+11) + B(x-9)(x+11) + C(x-9)(x-12),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,You've got two of the coefficients correct i.e.  VALUES OF B and C but the third coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF A and C but the third coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the other two coefficients are incorrect. Let's try the next one
<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-3x<sup>2</sup>-7x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+5)(x<sup>2</sup>+5x-6)</span></span></td></tr></tbody></table>can be resolved to partial fractions such  <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>that one of the terms in its partial fractions is<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> B</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+6)</span></span><span>then find the value of B</span></p>,4,20<span>/</span>3,-5<span>/</span>21,-66<span>/</span>7,66<span>/</span>7,3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -3x<sup>2</sup>-7x = A(x+6)(x-1) + B(x+5)(x-1) + C(x+5)(x+6),Substitute the values of x such that terms A and C are removed from the<br/> equation,7,2,The selected answer is the value of A and not B. Let's try the next one,The selected answer is the value of C and not B. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>5x<sup>2</sup>-12x+8</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x<sup>3</sup>+4x<sup>2</sup>-137x-660)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"529<span>/</span>98, -12","-529<span>/</span>98, 123<span>/</span>65","118<span>/</span>79, -529<span>/</span>98","529<span>/</span>98, 118<span>/</span>79",4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 5x<sup>2</sup>-12x+8 = A(x+11)(x-12) + B(x+5)(x-12) + C(x+5)(x+11),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-7</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x<sup>3</sup>+20x<sup>2</sup>+99x)</span></span></td></tr></tbody></table>can be resolved to partial fractions such  <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>that one of the terms in its partial fractions is<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> B</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+9)</span></span><span>then find the value of B</span></p>,4,7<span>/</span>18,-7<span>/</span>99,-7<span>/</span>18,-7<span>/</span>22,1,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -7 = A(x+9)(x) + B(x+11)(x) + C(x+11)(x+9),Substitute the values of x such that terms A and C are removed from the<br/> equation,7,3,Your answer is correct! Let's try the next one,The selected answer is the value of C and not B. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of A and not B. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>3x<sup>2</sup></span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x<sup>3</sup>+22x<sup>2</sup>+141x+252)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"48<span>/</span>5, 147<span>/</span>20","3<span>/</span>4, 48<span>/</span>5","3<span>/</span>4, -12","-3<span>/</span>4, -48<span>/</span>5",2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 3x<sup>2</sup> = A(x+3)(x+12) + B(x+7)(x+12) + C(x+7)(x+3),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>6x<sup>2</sup>+6x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x<sup>3</sup>+11x<sup>2</sup>+36x+36)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains all the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"3, 15, -43","-12, -43, 6","3, 15, 12","-12, 3, 15",4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 6x<sup>2</sup>+6x = A(x+2)(x+6) + B(x+3)(x+6) + C(x+3)(x+2),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,You've got two of the coefficients correct i.e.  VALUES OF B and C but the third coefficient is incorrect. Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF A and B but the third coefficient is incorrect. Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF B and C but the third coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-8x<sup>2</sup>-11</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x<sup>3</sup>+7x<sup>2</sup>-9x-63)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"403<span>/</span>40, -83<span>/</span>24","-83<span>/</span>60, -83<span>/</span>24","-403<span>/</span>40, -83<span>/</span>60","83<span>/</span>24, -12",3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -8x<sup>2</sup>-11 = A(x+3)(x-3) + B(x+7)(x-3) + C(x+7)(x+3),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one
